Query ID,Shard ID,Query Type,Data Size (MB),Execution Time (s),CPU Usage (%),Memory Usage (MB),I/O Operations,Timestamp
Q104,Shard_1,SELECT,229,1.26,50,403,95,2025-03-01 10:39:40
Q105,Shard_1,SELECT,225,1.08,75,552,44,2025-03-01 10:43:28
Q106,Shard_5,JOIN,466,2.21,88,941,194,2025-03-01 10:15:57
Q107,Shard_3,JOIN,392,2.77,81,823,158,2025-03-01 10:54:51
Q108,Shard_4,UPDATE,468,1.49,69,414,55,2025-03-01 10:54:59
Q109,Shard_4,SELECT,177,1.88,51,588,80,2025-03-01 10:46:09
Q110,Shard_5,UPDATE,388,1.05,71,401,74,2025-03-01 10:50:47
Q111,Shard_3,UPDATE,331,1.89,60,484,107,2025-03-01 10:55:15
Q112,Shard_5,SELECT,113,0.78,59,401,97,2025-03-01 10:05:49
Q113,Shard_4,SELECT,231,1.8,55,560,50,2025-03-01 10:34:30
Q114,Shard_2,JOIN,414,2.33,73,990,173,2025-03-01 10:16:42
Q115,Shard_3,UPDATE,273,1.01,70,662,86,2025-03-01 10:36:21
Q116,Shard_5,SELECT,144,1.08,50,494,64,2025-03-01 10:36:22
Q117,Shard_2,UPDATE,153,1.79,69,749,102,2025-03-01 10:42:13
Q118,Shard_4,UPDATE,462,2.39,66,542,63,2025-03-01 10:12:23
Q119,Shard_4,JOIN,339,2.07,91,785,167,2025-03-01 10:22:44
Q120,Shard_4,JOIN,472,2.69,81,674,104,2025-03-01 10:53:53
Q121,Shard_4,SELECT,117,1.77,74,577,63,2025-03-01 10:21:21
Q122,Shard_2,UPDATE,300,1.88,77,468,117,2025-03-01 10:42:29
Q123,Shard_1,UPDATE,200,1.38,61,718,68,2025-03-01 10:54:19
Q124,Shard_4,SELECT,280,1.94,76,509,44,2025-03-01 10:11:41
Q125,Shard_2,UPDATE,280,1.74,72,620,135,2025-03-01 10:10:00
Q126,Shard_1,SELECT,270,1.72,58,483,71,2025-03-01 10:37:17
Q127,Shard_2,UPDATE,256,1.76,78,681,77,2025-03-01 10:34:57
Q128,Shard_3,SELECT,138,1.81,55,432,97,2025-03-01 10:20:46
Q129,Shard_3,JOIN,392,2.02,92,636,124,2025-03-01 10:55:59
Q130,Shard_4,JOIN,463,2.4,78,774,156,2025-03-01 10:42:17
Q131,Shard_3,SELECT,208,0.74,57,364,88,2025-03-01 10:43:43
Q132,Shard_2,UPDATE,170,1.06,82,722,68,2025-03-01 10:57:52
Q133,Shard_1,JOIN,432,2.35,74,613,126,2025-03-01 10:29:01
Q134,Shard_3,UPDATE,191,1.78,68,774,129,2025-03-01 10:13:43
Q135,Shard_1,JOIN,326,2.49,80,650,160,2025-03-01 10:48:30
Q136,Shard_3,UPDATE,489,2.4,82,603,72,2025-03-01 10:44:31
Q137,Shard_2,SELECT,193,0.63,69,411,51,2025-03-01 10:06:04
Q138,Shard_1,UPDATE,264,1.72,68,449,74,2025-03-01 10:34:26
Q139,Shard_1,JOIN,432,2.37,82,977,116,2025-03-01 10:14:02
Q140,Shard_2,UPDATE,315,2.22,71,521,109,2025-03-01 10:37:50
Q141,Shard_5,JOIN,493,2.84,70,903,103,2025-03-01 10:06:34
Q142,Shard_4,JOIN,407,2.54,83,694,157,2025-03-01 10:30:09
Q143,Shard_1,JOIN,371,2.59,72,661,200,2025-03-01 10:49:10
Q144,Shard_4,SELECT,192,1.09,68,470,92,2025-03-01 10:43:09
Q145,Shard_5,JOIN,387,2.63,79,784,142,2025-03-01 10:07:38
Q146,Shard_4,UPDATE,473,1.28,68,686,77,2025-03-01 10:47:54
Q147,Shard_2,UPDATE,223,2.28,60,506,109,2025-03-01 10:29:27
Q148,Shard_5,UPDATE,385,1.64,63,485,57,2025-03-01 10:11:05
Q149,Shard_3,UPDATE,185,1.79,77,656,99,2025-03-01 10:25:46
Q150,Shard_2,UPDATE,295,2.28,81,475,131,2025-03-01 10:57:37
Q151,Shard_3,SELECT,153,0.85,69,440,72,2025-03-01 10:33:28
Q152,Shard_2,SELECT,191,0.56,64,453,88,2025-03-01 10:22:52
Q153,Shard_4,JOIN,388,2.42,87,753,176,2025-03-01 10:20:08
Q154,Shard_5,UPDATE,442,1.26,80,542,144,2025-03-01 10:11:31
Q155,Shard_2,UPDATE,209,2.49,77,706,96,2025-03-01 10:55:21
Q156,Shard_3,UPDATE,460,2.4,84,656,139,2025-03-01 10:05:53
Q157,Shard_4,JOIN,484,2.99,74,880,116,2025-03-01 10:19:20
Q158,Shard_1,JOIN,541,2.35,85,972,151,2025-03-01 10:26:42
Q159,Shard_4,UPDATE,284,1.14,77,549,121,2025-03-01 10:53:57
Q160,Shard_4,JOIN,565,2.61,75,986,171,2025-03-01 10:23:19
Q161,Shard_1,UPDATE,198,1.82,81,647,93,2025-03-01 10:06:21
Q162,Shard_3,SELECT,225,0.84,59,528,77,2025-03-01 10:47:37
Q163,Shard_5,JOIN,571,2.38,88,779,113,2025-03-01 10:51:58
Q164,Shard_2,JOIN,335,2.7,86,850,112,2025-03-01 10:11:26
Q165,Shard_2,JOIN,387,2.02,92,867,118,2025-03-01 10:21:19
Q166,Shard_1,SELECT,170,1.1,65,506,100,2025-03-01 10:09:11
Q167,Shard_5,UPDATE,474,2.08,85,738,69,2025-03-01 10:16:04
Q168,Shard_1,UPDATE,437,1.92,75,647,85,2025-03-01 10:16:29
Q169,Shard_2,JOIN,340,2.93,70,612,179,2025-03-01 10:47:59
Q170,Shard_2,UPDATE,440,2.12,84,472,116,2025-03-01 10:35:34
Q171,Shard_4,JOIN,469,2.54,87,734,179,2025-03-01 10:41:04
Q172,Shard_1,JOIN,355,2.5,81,880,164,2025-03-01 10:43:44
Q173,Shard_3,JOIN,482,2.67,83,622,187,2025-03-01 10:21:58
Q174,Shard_4,SELECT,277,0.62,60,528,62,2025-03-01 10:09:04
Q175,Shard_2,JOIN,380,2.9,75,682,109,2025-03-01 10:47:57
Q176,Shard_3,SELECT,108,1.16,72,356,57,2025-03-01 10:53:23
Q177,Shard_4,UPDATE,444,1.68,77,613,53,2025-03-01 10:26:17
Q178,Shard_4,SELECT,141,0.75,72,310,85,2025-03-01 10:40:26
Q179,Shard_3,JOIN,439,2.6,78,981,164,2025-03-01 10:52:25
Q180,Shard_1,JOIN,413,2.48,85,982,169,2025-03-01 10:46:13
Q181,Shard_3,UPDATE,489,2.04,85,574,89,2025-03-01 10:06:52
Q182,Shard_4,SELECT,235,1.05,70,409,60,2025-03-01 10:51:17
Q183,Shard_5,UPDATE,386,1.78,70,762,106,2025-03-01 10:51:11
Q184,Shard_5,JOIN,419,2.14,81,991,194,2025-03-01 10:15:53
Q185,Shard_4,UPDATE,226,1.71,75,607,114,2025-03-01 10:18:02
Q186,Shard_3,UPDATE,181,1.7,70,689,147,2025-03-01 10:45:23
Q187,Shard_2,JOIN,412,2.62,89,787,132,2025-03-01 10:11:49
Q188,Shard_4,SELECT,244,1.24,79,528,77,2025-03-01 10:26:13
Q189,Shard_2,JOIN,447,2.09,86,726,144,2025-03-01 10:32:31
Q190,Shard_2,UPDATE,186,1.97,73,800,115,2025-03-01 10:23:44
Q191,Shard_3,UPDATE,389,1.6,67,732,97,2025-03-01 10:09:57
Q192,Shard_3,JOIN,444,2.65,93,908,167,2025-03-01 10:52:48
Q193,Shard_1,JOIN,591,2.49,86,803,109,2025-03-01 10:07:23
Q194,Shard_4,UPDATE,414,2.09,74,582,54,2025-03-01 10:12:43
Q195,Shard_1,SELECT,245,1.16,75,325,68,2025-03-01 10:58:21
Q196,Shard_3,SELECT,206,0.84,69,507,50,2025-03-01 10:11:08
Q197,Shard_3,SELECT,175,1.81,73,547,94,2025-03-01 10:27:45
Q198,Shard_2,SELECT,126,1.39,64,478,50,2025-03-01 10:33:48
Q199,Shard_3,JOIN,387,2.52,73,753,111,2025-03-01 10:19:08
Q200,Shard_1,JOIN,511,2.83,87,769,175,2025-03-01 10:35:58
Q201,Shard_1,JOIN,453,2.57,71,934,197,2025-03-01 10:26:48
Q202,Shard_2,JOIN,590,2.43,90,706,192,2025-03-01 10:43:27
Q203,Shard_5,JOIN,301,2.82,84,682,134,2025-03-01 10:52:37
Q204,Shard_3,UPDATE,276,1.09,65,627,66,2025-03-01 10:33:34
Q205,Shard_1,SELECT,279,1.6,62,474,69,2025-03-01 10:44:27
Q206,Shard_4,JOIN,426,2.3,79,940,188,2025-03-01 10:28:58
Q207,Shard_3,JOIN,399,2.81,82,844,144,2025-03-01 10:53:45
Q208,Shard_2,UPDATE,353,2.03,81,729,112,2025-03-01 10:16:57
Q209,Shard_5,UPDATE,495,1.21,81,504,56,2025-03-01 10:21:10
Q210,Shard_4,JOIN,497,2.01,74,613,196,2025-03-01 10:25:00
Q211,Shard_5,SELECT,148,1.16,77,531,71,2025-03-01 10:23:43
Q212,Shard_4,JOIN,452,2.47,88,962,134,2025-03-01 10:53:31
Q213,Shard_2,UPDATE,180,2.43,77,718,124,2025-03-01 10:38:44
Q214,Shard_1,JOIN,319,2.28,79,760,168,2025-03-01 10:42:43
Q215,Shard_2,SELECT,125,1.96,59,570,53,2025-03-01 10:16:41
Q216,Shard_1,JOIN,326,2.12,86,817,113,2025-03-01 10:08:12
Q217,Shard_4,SELECT,190,2.0,74,451,75,2025-03-01 10:38:13
Q218,Shard_5,UPDATE,398,2.18,65,653,138,2025-03-01 10:13:20
Q219,Shard_5,JOIN,535,2.33,89,603,130,2025-03-01 10:11:47
Q220,Shard_3,JOIN,451,2.53,81,802,176,2025-03-01 10:51:07
Q221,Shard_5,SELECT,252,1.48,60,360,49,2025-03-01 10:39:33
Q222,Shard_2,UPDATE,226,1.36,75,532,84,2025-03-01 10:09:13
Q223,Shard_3,JOIN,558,2.58,81,665,133,2025-03-01 10:12:21
Q224,Shard_5,UPDATE,211,2.09,72,540,63,2025-03-01 10:10:47
Q225,Shard_3,JOIN,347,2.72,85,683,185,2025-03-01 10:05:54
Q226,Shard_5,UPDATE,297,1.2,66,463,69,2025-03-01 10:51:51
Q227,Shard_2,JOIN,583,2.59,72,902,169,2025-03-01 10:26:59
Q228,Shard_3,UPDATE,422,2.13,82,584,89,2025-03-01 10:11:30
Q229,Shard_4,UPDATE,483,2.35,80,420,122,2025-03-01 10:24:29
Q230,Shard_4,UPDATE,333,2.41,66,455,111,2025-03-01 10:58:32
Q231,Shard_2,SELECT,229,1.54,54,382,49,2025-03-01 10:06:16
Q232,Shard_2,JOIN,459,2.63,70,728,133,2025-03-01 10:46:24
Q233,Shard_3,JOIN,385,2.08,87,757,190,2025-03-01 10:34:17
Q234,Shard_4,JOIN,422,2.06,77,712,140,2025-03-01 10:47:43
Q235,Shard_1,JOIN,504,2.93,80,766,173,2025-03-01 10:49:49
Q236,Shard_4,JOIN,457,2.04,79,691,118,2025-03-01 10:54:25
Q237,Shard_3,SELECT,186,1.08,52,401,69,2025-03-01 10:39:47
Q238,Shard_2,UPDATE,278,2.23,68,494,93,2025-03-01 10:22:20
Q239,Shard_4,UPDATE,455,1.94,85,637,60,2025-03-01 10:21:56
Q240,Shard_3,UPDATE,168,2.43,75,626,102,2025-03-01 10:29:27
Q241,Shard_2,JOIN,489,2.37,94,933,108,2025-03-01 10:22:53
Q242,Shard_3,UPDATE,326,1.99,75,417,115,2025-03-01 10:51:54
Q243,Shard_4,UPDATE,449,2.49,70,472,64,2025-03-01 10:26:20
Q244,Shard_3,JOIN,511,2.38,93,956,180,2025-03-01 10:17:22
Q245,Shard_2,UPDATE,314,1.49,61,508,124,2025-03-01 10:26:26
Q246,Shard_1,SELECT,293,0.57,62,341,95,2025-03-01 10:05:27
Q247,Shard_2,JOIN,394,2.48,93,607,191,2025-03-01 10:36:45
Q248,Shard_5,SELECT,286,0.92,56,404,82,2025-03-01 10:51:39
Q249,Shard_4,UPDATE,456,1.9,69,488,87,2025-03-01 10:36:25
Q250,Shard_3,UPDATE,378,2.23,71,639,70,2025-03-01 10:55:46
Q251,Shard_5,SELECT,251,1.28,64,528,61,2025-03-01 10:48:02
Q252,Shard_1,UPDATE,281,1.17,82,431,68,2025-03-01 10:51:29
Q253,Shard_5,UPDATE,155,1.88,75,650,104,2025-03-01 10:15:48
Q254,Shard_4,UPDATE,424,1.79,85,541,127,2025-03-01 10:22:43
Q255,Shard_1,SELECT,113,1.38,63,586,95,2025-03-01 10:44:16
Q256,Shard_3,SELECT,106,1.79,57,552,48,2025-03-01 10:51:52
Q257,Shard_5,JOIN,464,2.91,79,998,198,2025-03-01 10:56:39
Q258,Shard_4,JOIN,472,2.07,75,733,177,2025-03-01 10:12:59
Q259,Shard_1,UPDATE,264,1.46,67,788,53,2025-03-01 10:46:18
Q260,Shard_1,JOIN,503,2.81,78,703,134,2025-03-01 10:39:31
Q261,Shard_3,JOIN,420,2.24,76,640,155,2025-03-01 10:20:17
Q262,Shard_1,SELECT,215,0.76,68,399,48,2025-03-01 10:18:42
Q263,Shard_5,UPDATE,330,1.72,70,426,66,2025-03-01 10:48:32
Q264,Shard_5,SELECT,293,1.2,65,365,59,2025-03-01 10:53:50
Q265,Shard_4,SELECT,211,1.9,80,392,90,2025-03-01 10:08:19
Q266,Shard_5,JOIN,376,2.99,84,792,118,2025-03-01 10:56:32
Q267,Shard_5,SELECT,203,1.84,54,480,69,2025-03-01 10:57:42
Q268,Shard_1,JOIN,300,2.95,78,737,179,2025-03-01 10:20:01
Q269,Shard_4,SELECT,119,1.0,66,547,41,2025-03-01 10:32:45
Q270,Shard_5,SELECT,275,0.85,76,363,62,2025-03-01 10:11:09
Q271,Shard_2,SELECT,280,0.54,62,441,61,2025-03-01 10:44:49
Q272,Shard_3,JOIN,391,2.32,72,943,173,2025-03-01 10:57:14
Q273,Shard_3,SELECT,154,0.97,69,387,46,2025-03-01 10:43:53
Q274,Shard_1,UPDATE,181,1.17,69,626,108,2025-03-01 10:21:26
Q275,Shard_2,SELECT,214,1.43,63,425,87,2025-03-01 10:40:57
Q276,Shard_5,SELECT,237,0.81,80,487,88,2025-03-01 10:54:09
Q277,Shard_3,JOIN,471,2.99,90,667,194,2025-03-01 10:10:55
Q278,Shard_5,SELECT,232,0.53,74,309,58,2025-03-01 10:06:58
Q279,Shard_3,UPDATE,431,1.13,63,624,121,2025-03-01 10:40:45
Q280,Shard_4,SELECT,101,0.88,56,531,41,2025-03-01 10:42:52
Q281,Shard_1,SELECT,221,1.55,76,502,65,2025-03-01 10:14:33
Q282,Shard_5,JOIN,342,2.23,93,759,154,2025-03-01 10:45:57
Q283,Shard_4,JOIN,581,2.39,76,769,188,2025-03-01 10:11:13
Q284,Shard_4,SELECT,153,1.05,62,580,49,2025-03-01 10:07:52
Q285,Shard_1,SELECT,268,1.53,66,555,88,2025-03-01 10:45:43
Q286,Shard_5,SELECT,187,0.7,56,538,44,2025-03-01 10:06:07
Q287,Shard_5,JOIN,345,2.6,80,877,100,2025-03-01 10:28:32
Q288,Shard_3,SELECT,225,1.25,66,423,59,2025-03-01 10:55:15
Q289,Shard_1,SELECT,110,0.64,52,555,47,2025-03-01 10:50:28
Q290,Shard_2,JOIN,381,2.49,71,896,101,2025-03-01 10:27:13
Q291,Shard_5,UPDATE,260,1.21,70,654,146,2025-03-01 10:21:53
Q292,Shard_5,SELECT,185,0.92,55,545,43,2025-03-01 10:15:23
Q293,Shard_5,UPDATE,329,2.16,63,452,103,2025-03-01 10:29:13
Q294,Shard_1,UPDATE,350,2.0,63,442,57,2025-03-01 10:33:58
Q295,Shard_4,UPDATE,244,1.68,76,601,73,2025-03-01 10:05:09
Q296,Shard_5,JOIN,519,2.65,81,822,122,2025-03-01 10:51:11
Q297,Shard_4,JOIN,569,2.13,79,978,190,2025-03-01 10:36:09
Q298,Shard_2,UPDATE,383,1.55,84,653,132,2025-03-01 10:52:45
Q299,Shard_3,JOIN,592,2.4,80,637,132,2025-03-01 10:49:07
Q300,Shard_3,UPDATE,206,2.0,68,532,117,2025-03-01 10:06:06
Q301,Shard_2,UPDATE,480,2.21,66,629,107,2025-03-01 10:25:59
Q302,Shard_2,JOIN,429,2.3,88,631,184,2025-03-01 10:05:44
Q303,Shard_1,UPDATE,200,2.27,60,702,139,2025-03-01 10:47:32
Q304,Shard_3,UPDATE,448,1.87,73,463,138,2025-03-01 10:47:07
Q305,Shard_3,SELECT,217,1.07,73,382,62,2025-03-01 10:19:02
Q306,Shard_5,UPDATE,168,1.6,69,634,95,2025-03-01 10:53:02
Q307,Shard_4,SELECT,254,0.53,58,336,44,2025-03-01 10:19:59
Q308,Shard_4,JOIN,591,2.69,94,871,178,2025-03-01 10:25:41
Q309,Shard_2,SELECT,170,0.91,51,368,91,2025-03-01 10:13:48
Q310,Shard_2,JOIN,303,2.78,73,611,179,2025-03-01 10:49:13
Q311,Shard_4,SELECT,148,1.95,58,329,54,2025-03-01 10:37:03
Q312,Shard_5,UPDATE,344,1.41,67,437,69,2025-03-01 10:51:28
Q313,Shard_2,UPDATE,153,1.9,62,634,80,2025-03-01 10:59:44
Q314,Shard_4,UPDATE,198,1.39,77,503,119,2025-03-01 10:08:35
Q315,Shard_4,UPDATE,166,2.4,85,648,87,2025-03-01 10:19:53
Q316,Shard_1,SELECT,142,1.57,69,536,76,2025-03-01 10:06:39
Q317,Shard_1,UPDATE,446,1.81,70,470,140,2025-03-01 10:05:54
Q318,Shard_4,SELECT,234,1.28,65,372,70,2025-03-01 10:45:17
Q319,Shard_1,SELECT,170,0.72,64,322,81,2025-03-01 10:32:53
Q320,Shard_2,JOIN,368,3.0,82,654,183,2025-03-01 10:47:20
Q321,Shard_4,JOIN,528,2.85,77,922,126,2025-03-01 10:22:39
Q322,Shard_4,SELECT,207,1.88,65,351,65,2025-03-01 10:18:42
Q323,Shard_3,UPDATE,334,1.41,69,649,139,2025-03-01 10:49:20
Q324,Shard_2,UPDATE,351,1.16,77,619,71,2025-03-01 10:13:14
Q325,Shard_5,JOIN,575,2.06,94,891,178,2025-03-01 10:32:51
Q326,Shard_5,JOIN,329,2.4,89,817,168,2025-03-01 10:27:06
Q327,Shard_3,UPDATE,335,1.99,81,774,82,2025-03-01 10:58:34
Q328,Shard_4,SELECT,152,2.0,57,362,66,2025-03-01 10:09:41
Q329,Shard_2,UPDATE,251,2.09,65,737,131,2025-03-01 10:55:08
Q330,Shard_3,JOIN,364,2.64,92,756,133,2025-03-01 10:55:09
Q331,Shard_1,SELECT,113,1.43,61,585,66,2025-03-01 10:56:33
Q332,Shard_4,UPDATE,406,1.93,64,591,91,2025-03-01 10:18:01
Q333,Shard_4,SELECT,198,0.85,61,580,79,2025-03-01 10:47:16
Q334,Shard_2,UPDATE,244,1.51,60,586,125,2025-03-01 10:45:54
Q335,Shard_3,JOIN,318,2.2,89,933,186,2025-03-01 10:26:05
Q336,Shard_2,JOIN,526,2.3,83,702,153,2025-03-01 10:43:46
Q337,Shard_4,UPDATE,403,1.31,74,728,53,2025-03-01 10:20:06
Q338,Shard_1,SELECT,195,1.92,80,573,70,2025-03-01 10:45:17
Q339,Shard_4,UPDATE,417,1.49,62,727,97,2025-03-01 10:49:21
Q340,Shard_5,JOIN,486,2.05,84,971,155,2025-03-01 10:59:59
Q341,Shard_3,UPDATE,370,1.73,78,619,84,2025-03-01 10:26:00
Q342,Shard_5,JOIN,336,2.99,83,941,186,2025-03-01 10:53:31
Q343,Shard_1,UPDATE,206,1.62,62,671,67,2025-03-01 10:54:10
